order	delta_t	error
4	0.040200	0.001953
4	0.040250	0.001954
4	0.040300	0.001956
4	0.040350	0.001958
4	0.040400	0.001959
4	0.040450	0.001961
4	0.040500	0.001962
4	0.040550	0.001964
4	0.040600	0.001965
4	0.040650	0.001966
4	0.040700	0.001968
4	0.040750	0.001969
4	0.040800	0.001971
4	0.040850	0.001972
4	0.040900	0.001973
4	0.040950	0.001975
4	0.041000	0.001976
4	0.041050	0.001978
4	0.041100	0.001979
4	0.041150	0.001981
4	0.041200	0.001982
4	0.041250	0.001984
4	0.041300	0.001985
4	0.041350	0.001987
4	0.041400	0.001988
4	0.041450	0.001989
4	0.041500	0.001991
4	0.041550	0.001992
4	0.041600	0.001994
4	0.041650	0.001995
4	0.041700	0.001997
4	0.041750	0.001998
4	0.041800	0.002000
4	0.041850	0.002002
4	0.041900	0.002003
4	0.041950	0.002005
4	0.042000	0.002006
4	0.042050	0.002008
4	0.042100	0.002010
4	0.042150	0.002011
4	0.042200	0.002013
4	0.042250	0.002015
4	0.042300	0.002017
4	0.042350	0.002018
4	0.042400	0.002020
4	0.042450	0.002022
4	0.042500	0.002023
4	0.042550	0.002025
4	0.042600	0.002027
4	0.042650	0.002028
4	0.042700	0.002030
4	0.042750	0.002031
4	0.042800	0.002033
4	0.042850	0.002035
4	0.042900	0.002036
4	0.042950	0.002038
4	0.043000	0.002039
4	0.043050	0.002041
4	0.043100	0.002042
4	0.043150	0.002043
4	0.043200	0.002045
4	0.043250	0.002046
4	0.043300	0.002048
4	0.043350	0.002049
4	0.043400	0.002050
4	0.043450	0.002052
4	0.043500	0.002053
4	0.043550	0.002055
4	0.043600	0.002056
4	0.043650	0.002058
4	0.043700	0.002059
4	0.043750	0.002061
4	0.043800	0.002062
4	0.043850	0.002063
4	0.043900	0.002065
4	0.043950	0.002066
4	0.044000	0.002067
4	0.044050	0.002068
4	0.044100	0.002070
4	0.044150	0.002071
4	0.044200	0.002072
4	0.044250	0.002074
4	0.044300	0.002075
4	0.044350	0.002076
4	0.044400	0.002077
4	0.044450	0.002079
4	0.044500	0.002080
4	0.044550	0.002081
4	0.044600	0.002083
4	0.044650	0.002084
4	0.044700	0.002086
4	0.044750	0.002087
4	0.044800	0.002089
4	0.044850	0.002090
4	0.044900	0.002092
4	0.044950	0.002094
4	0.045000	0.002095
4	0.045050	0.002097
4	0.045100	0.002099
4	0.045150	0.002100
4	0.045200	0.002102
4	0.045250	0.002104
4	0.045300	0.002105
4	0.045350	0.002107
4	0.045400	0.002109
4	0.045450	0.002110
4	0.045500	0.002112
4	0.045550	0.002114
4	0.045600	0.002116
4	0.045650	0.002117
4	0.045700	0.002119
4	0.045750	0.002121
4	0.045800	0.002122
4	0.045850	0.002124
4	0.045900	0.002126
4	0.045950	0.002127
4	0.046000	0.002129
4	0.046050	0.002131
4	0.046100	0.002132
4	0.046150	0.002134
4	0.046200	0.002136
4	0.046250	0.002137
4	0.046300	0.002139
4	0.046350	0.002140
4	0.046400	0.002142
4	0.046450	0.002143
4	0.046500	0.002145
4	0.046550	0.002146
4	0.046600	0.002148
4	0.046650	0.002149
4	0.046700	0.002151
4	0.046750	0.002152
4	0.046800	0.002153
4	0.046850	0.002155
4	0.046900	0.002156
4	0.046950	0.002157
4	0.047000	0.002158
4	0.047050	0.002160
4	0.047100	0.002161
4	0.047150	0.002162
